timestamp_s,y_position_mm,extrusion_steps_s
367910.625224,0.010,0.0
367910.626212,0.010,0.0
367910.627222,0.010,0.0
367910.628212,0.010,0.0
367910.629246,0.010,0.0
367910.630213,0.010,0.0
367910.631225,0.010,0.0
367910.632214,0.010,0.0
367910.633222,0.010,0.0
367910.634213,0.010,0.0
367910.635223,0.010,0.0
367910.636166,0.010,0.0
367910.637224,0.010,0.0
367910.638213,0.010,0.0
367910.639184,0.010,0.0
367910.640215,0.010,0.0
367910.641238,0.010,0.0
367910.642206,0.010,0.0
367910.643240,0.010,0.0
367910.644208,0.010,0.0
367910.645222,0.010,0.0
367910.646213,0.010,0.0
367910.647223,0.010,0.0
367910.648190,0.010,0.0
367910.649218,0.010,0.0
367910.650206,0.010,0.0
367910.651185,0.010,0.0
367910.652166,0.010,0.0
367910.653224,0.010,0.0
367910.654213,0.010,0.0
367910.655223,0.010,0.0
367910.656212,0.010,0.0
367910.657223,0.010,0.0
367910.658213,0.010,0.0
367910.659246,0.010,0.0
367910.660212,0.010,0.0
367910.661223,0.010,0.0
367910.662212,0.010,0.0
367910.663230,0.010,0.0
367910.664213,0.010,0.0
367910.665217,0.010,0.0
367910.666206,0.010,0.0
367910.667219,0.010,0.0
367910.668172,0.010,0.0
367910.669217,0.010,0.0
367910.670205,0.010,0.0
367910.671218,0.010,0.0
367910.672170,0.010,0.0
367910.673218,0.010,0.0
367910.674218,0.010,0.0
367910.675219,0.010,0.0
367910.676217,0.010,0.0
367910.677224,0.010,0.0
367910.678230,0.010,0.0
367910.679224,0.010,0.0
367910.680223,0.010,0.0
367910.681249,0.010,0.0
367910.682245,0.010,0.0
367910.683225,0.010,0.0
367910.684223,0.010,0.0
367910.685224,0.010,0.0
367910.686222,0.010,0.0
367910.687224,0.010,0.0
367910.688206,0.010,0.0
367910.689224,0.010,0.0
367910.690224,0.010,0.0
367910.691223,0.010,0.0
367910.692245,0.010,0.0
367910.693223,0.010,0.0
367910.694224,0.010,0.0
367910.695189,0.010,0.0
367910.696183,0.010,0.0
367910.697210,0.010,0.0
367910.698165,0.010,0.0
367910.699208,0.010,0.0
367910.700173,0.010,0.0
367910.701246,0.010,0.0
367910.702214,0.010,0.0
367910.703223,0.010,0.0
367910.704213,0.010,0.0
367910.705222,0.010,0.0
367910.706160,0.010,0.0
367910.707218,0.010,0.0
367910.708163,0.010,0.0
367910.709214,0.010,0.0
367910.710213,0.010,0.0
367910.711214,0.010,0.0
367910.712163,0.010,0.0
367910.713165,0.010,0.0
367910.714173,0.010,0.0
367910.715213,0.010,0.0
367910.716162,0.010,0.0
367910.717212,0.010,0.0
367910.718165,0.010,0.0
367910.719213,0.010,0.0
367910.720163,0.010,0.0
367910.721213,0.010,0.0
367910.722213,0.010,0.0
367910.723166,0.010,0.0
367910.724172,0.010,0.0
367910.725213,0.010,0.0
367910.726218,0.010,0.0
367910.727213,0.010,0.0
367910.728165,0.010,0.0
367910.729213,0.010,0.0
367910.730213,0.010,0.0
367910.731216,0.010,0.0
367910.732163,0.010,0.0
367910.733165,0.010,0.0
367910.734212,0.010,0.0
367910.735212,0.010,0.0
367910.736163,0.010,0.0
367910.737213,0.010,0.0
367910.738212,0.010,0.0
367910.739212,0.010,0.0
367910.740163,0.010,0.0
367910.741213,0.010,0.0
367910.742213,0.010,0.0
367910.743213,0.010,0.0
367910.744163,0.010,0.0
367910.745214,0.010,0.0
367910.746212,0.010,0.0
367910.747213,0.010,0.0
367910.748162,0.010,0.0
367910.749213,0.010,0.0
367910.750179,0.010,0.0
367910.751213,0.010,0.0
367910.752162,0.010,0.0
367910.753213,0.010,0.0
367910.754212,0.010,0.0
